trial_id,scene_id,scene_family,method,instruction_type,instruction_text,candidate_count,asked,question_count,latency,target_correct,failure_category,attempted,grasp_success,full_task_success,wrong_prevented,object_category
1,scene_01,cup_only,top_score,clear,Pick up the yellow cup.,1,False,0,1.84606,True,none,True,True,True,False,cup
2,scene_02,cup_only,top_score,clear,Pick up the yellow cup.,1,False,0,3.375725,True,none,True,True,True,False,cup
3,scene_03,cup_only,top_score,clear,Pick up the white cup.,1,False,0,4.278463,True,none,True,True,True,False,cup
4,scene_04,cup_only,top_score,clear,Pick up the brown cup.,1,False,0,3.890923,True,none,True,True,True,False,cup
5,scene_05,cup_only,top_score,clear,Pick up the green cup.,1,False,0,4.46608,True,none,True,True,True,False,cup
6,scene_06,bottle_only,top_score,clear,Pick up the black bottle.,1,False,0,5.002746,True,none,True,True,True,False,bottle
7,scene_07,bottle_only,top_score,clear,Pick up the green cup.,1,False,0,4.884531,True,none,True,True,True,False,cup
8,scene_08,bottle_only,top_score,clear,Pick up the green bottle.,1,False,0,13.981654,True,none,True,True,True,False,bottle
9,scene_09,bottle_only,top_score,clear,Pick up the left bottle.,1,False,0,7.566142,True,none,True,True,True,False,bottle
10,scene_10,bottle_only,top_score,clear,Pick up the red bottle.,1,False,0,11.399784,True,none,True,True,True,False,bottle
11,scene_11,utensil_only,top_score,clear,Pick up the yellow fork.,1,False,0,5.412047,True,none,True,True,True,False,fork
12,scene_12,utensil_only,top_score,clear,Pick up the green fork.,1,False,0,6.117685,True,none,True,True,True,False,fork
13,scene_13,utensil_only,top_score,clear,Pick up the pink spoon.,1,False,0,4.170258,True,none,True,True,True,False,spoon
14,scene_14,utensil_only,top_score,clear,Pick up the blue fork.,1,False,0,3.156631,True,grasp_failed,True,False,False,False,fork
15,scene_15,utensil_only,top_score,clear,Pick up the center fork.,1,False,0,7.515432,True,none,True,True,True,False,fork
16,scene_16,mixed,top_score,clear,Picky up the red bottle.,1,False,0,5.080414,True,none,True,True,True,False,bottle
17,scene_17,mixed,top_score,clear,Pick up the green bottle.,1,False,0,9.707787,True,none,True,True,True,False,bottle
18,scene_18,mixed,top_score,clear,Pick up the blue cup.,1,False,0,5.824586,True,none,True,True,True,False,cup
19,scene_19,mixed,top_score,clear,Pick up the green cup.,1,False,0,4.565356,True,none,True,True,True,False,cup
20,scene_01,cup_only,top_score,ambiguous,Pick up my cup.,6,False,0,2.753253,False,wrong_target,False,False,False,True,cup
21,scene_02,cup_only,top_score,ambiguous,Pick up my cup.,6,False,0,9.130602,False,wrong_target,False,False,False,True,cup
22,scene_03,cup_only,top_score,ambiguous,Pick up my cup.,6,False,0,3.278881,False,wrong_target,False,False,False,True,cup
23,scene_05,cup_only,top_score,ambiguous,Pick up my cup.,6,False,0,6.77508,False,wrong_target,False,False,False,True,cup
