trial_id,scene_id,scene_family,method,instruction_type,instruction_text,candidate_count,asked,question_count,latency,target_correct,failure_category
1,scene_001,cup_only,top_score,ambiguous,Pick up my cup.,6,False,0,34.341923,False,ambiguity_not_solved
2,scene_001,cup_only,top_score,ambiguous,Pick up the cup.,6,False,0,10.63569,False,ambiguity_not_solved
3,scene_001,cup_only,top_score,partial,Pick up cup.,6,False,0,6.717966,False,wrong
4,scene_001,cup_only,top_score,partial,Pick up the orange cup.,6,False,0,21.049183,False,ambiguity_not_solved
5,scene_001,cup_only,top_score,partial,Pick up the orange cup.,6,False,0,5.794375,True,none
6,scene_001,cup_only,top_score,clear,Pick up the yellow cup.,7,False,0,67.697782,False,ambiguity_not_solved
7,scene_001,cup_only,proposed_efe,clear,Pick up the green cup.,1,False,0,8.440147,True,none
8,scene_001,cup_only,top_score,clear,Pick up the green cup.,1,False,0,16.494172,False,ambiguity_not_solved
9,scene_001,cup_only,top_score,clear,Pick up the right most cup.,1,False,0,5.866002,True,none
10,scene_001,cup_only,top_score,partial,Pick up the orange cup.,1,False,0,10.041961,False,gd_missing_target_candidate
11,scene_001,cup_only,random_candidate,ambiguous,Pick up my cup.,6,False,0,11.472606,False,ambiguity_not_solved
12,scene_001,cup_only,random_candidate,ambiguous,Pick up the cup.,6,False,0,41.984157,False,ambiguity_not_solved
13,scene_001,cup_only,random_candidate,partial,Pick up the cup.,6,False,0,7.410148,True,none
14,scene_001,cup_only,random_candidate,partial,Pick up the orange cup.,1,False,0,9.831251,False,gd_missing_target_candidate
15,scene_001,cup_only,random_candidate,partial,Pick up the orange cup.,1,False,0,6.708487,False,gd_missing_target_candidate
16,scene_001,cup_only,random_candidate,partial,Pick up the top cup.,0,False,0,6.071844,False,gd_missing_target_candidate
17,scene_001,cup_only,random_candidate,clear,Pick up the blue cup.,1,False,0,10.110392,True,none
18,scene_001,cup_only,random_candidate,clear,Pick up the red cup.,1,False,0,170.193262,True,none
19,scene_001,cup_only,random_candidate,clear,Pick up the left most cup.,1,False,0,4.658508,True,none
20,scene_001,cup_only,vlm_direct,clear,Pick up the left most cup.,1,False,0,5.773003,True,none
21,scene_001,cup_only,vlm_direct,clear,Pick up the green cup.,1,False,0,5.832372,True,none
22,scene_001,cup_only,vlm_direct,clear,Pick up the blue cup.,1,False,0,10.524811,True,none
23,scene_001,cup_only,vlm_direct,partial,Pick up the orange cup.,1,False,0,4.336403,False,gd_missing_target_candidate
24,scene_001,cup_only,vlm_direct,partial,Pick up the cup on the bottom half.,0,False,0,5.299427,False,gd_missing_target_candidate
25,scene_001,cup_only,vlm_direct,partial,Pick up the left cup.,1,False,0,6.539261,True,none
26,scene_001,cup_only,vlm_direct,partial,Pick up the bottom cup.,1,False,0,3.155287,True,none
27,scene_001,cup_only,vlm_direct,ambiguous,Pick up my cup.,6,False,0,9.462311,True,none
28,scene_001,cup_only,vlm_direct,ambiguous,Pick up my cup.,6,False,0,6.894268,False,ambiguity_not_solved
29,scene_001,cup_only,first_question,clear,Pick up green cup.,1,False,0,4.430354,True,none
30,scene_001,cup_only,first_question,clear,Pick up red cup.,1,False,0,4.311344,True,none
31,scene_001,cup_only,first_question,clear,Pick up left most cup.,0,False,0,15.629906,True,none
32,scene_001,cup_only,first_question,clear,Pick up most left cup.,1,False,0,4.639959,True,none
33,scene_001,cup_only,first_question,clear,Pick up blue cup.,1,False,0,3.333414,True,none
34,scene_001,cup_only,first_question,partial,Pick up orange cup.,1,False,0,3.801911,False,gd_missing_target_candidate
35,scene_001,cup_only,first_question,ambiguous,Pick up my cup.,6,True,5,273.968555,True,none
36,scene_001,cup_only,first_question,ambiguous,Pick up my cup.,6,True,3,166.753165,True,none
37,scene_001,cup_only,first_question,ambiguous,Pick up my cup.,6,True,5,280.650817,True,none
38,scene_001,cup_only,random_question,clear,Pick up green cup.,1,False,0,5.393949,True,none
39,scene_001,cup_only,random_question,clear,Pick up green cup.,1,False,0,3.972204,True,none
40,scene_001,cup_only,random_question,clear,Pick up bottom cup.,1,False,0,4.076189,False,wrong_object_selected
41,scene_001,cup_only,random_question,partial,Pick up cup on the left half.,1,False,0,16.463345,True,none
42,scene_001,cup_only,random_question,partial,Pick up orange cup.,1,False,0,4.011668,True,none
43,scene_001,cup_only,random_question,partial,Pick up the cup on the right half.,1,False,0,5.543648,True,none
44,scene_001,cup_only,random_question,ambiguous,Pick up my cup.,6,True,3,140.937339,True,none
45,scene_001,cup_only,random_question,ambiguous,Pick up my cup.,6,True,6,316.266742,True,none
46,scene_001,cup_only,random_question,ambiguous,Pick up my cup.,6,True,2,83.867238,True,none
47,scene_001,cup_only,vlm_best_question,partial,Pick up green cup.,1,False,0,9.334763,True,none
48,scene_001,cup_only,vlm_best_question,clear,Pick up green cup.,1,False,0,3.31273,True,none
49,scene_001,cup_only,vlm_best_question,clear,Pick up yellow cup.,1,False,0,11.068928,True,none
50,scene_001,cup_only,vlm_best_question,clear,Pick up the cup in the middle.,1,False,0,18.623123,False,wrong_object_selected
51,scene_001,cup_only,vlm_best_question,partial,Pick up the most left cup.,1,False,0,4.620884,True,none
52,scene_001,cup_only,vlm_best_question,clear,Pick up the most left cup.,1,False,0,3.653377,True,none
53,scene_001,cup_only,vlm_best_question,ambiguous,Pick up my cup.,6,True,6,425.967494,True,none
54,scene_001,cup_only,vlm_best_question,ambiguous,Pick up my cup.,6,True,4,144.732291,True,none
55,scene_001,cup_only,vlm_best_question,ambiguous,Pick up my cup.,6,True,4,255.202848,True,none
56,scene_001,cup_only,proposed_efe,clear,Pick up green cup.,1,False,0,4.53449,True,none
57,scene_001,cup_only,proposed_efe,clear,Pick up yellow cup.,1,False,0,17.645996,True,none
58,scene_001,cup_only,proposed_efe,clear,Pick up most left cup.,1,False,0,7.318148,True,none
59,scene_001,cup_only,proposed_efe,partial,Pick up orange cup.,1,False,0,4.096808,True,none
60,scene_001,cup_only,proposed_efe,partial,Pick up most center cup.,1,False,0,9.394409,False,wrong_object_selected
61,scene_001,cup_only,proposed_efe,ambiguous,Pick up my cup.,6,True,3,135.401839,True,none
62,scene_001,cup_only,proposed_efe,ambiguous,Pick up my cup.,6,True,3,92.614301,True,none
63,scene_002,cup_only,top_score,clear,Pick up the green cup.,1,False,0,5.80236,True,none
64,scene_002,cup_only,top_score,clear,Pick up the blue cup.,1,False,0,10.680567,True,none
65,scene_002,cup_only,top_score,clear,Pick up the metal cup.,1,False,0,5.559583,True,none
66,scene_002,cup_only,top_score,partial,Pick up the orange cup.,1,False,0,7.890546,False,gd_missing_target_candidate
67,scene_002,cup_only,top_score,partial,Pick up the cup on the left half.,1,False,0,7.873797,False,gd_missing_target_candidate
68,scene_002,cup_only,top_score,partial,Pick up the cup near the orange one.,0,False,0,12.617942,False,gd_missing_target_candidate
69,scene_002,cup_only,top_score,ambiguous,Pick up my cup.,6,False,0,7.667821,False,ambiguity_not_solved
70,scene_002,cup_only,top_score,ambiguous,Pick up my cup.,6,False,0,3.066881,False,ambiguity_not_solved
71,scene_002,cup_only,top_score,ambiguous,Pick up my cup.,6,False,0,2.541047,False,ambiguity_not_solved
72,scene_002,cup_only,random_candidate,ambiguous,Pick up my cup.,6,False,0,4.228005,True,none
73,scene_002,cup_only,random_candidate,ambiguous,Pick up my cup.,6,False,0,4.846076,False,ambiguity_not_solved
74,scene_002,cup_only,random_candidate,ambiguous,Pick up my cup.,6,False,0,7.000682,False,ambiguity_not_solved
75,scene_002,cup_only,random_candidate,partial,Pick up left cup.,1,False,0,4.12795,False,gd_missing_target_candidate
76,scene_002,cup_only,random_candidate,partial,Pick up the cup near the orange cup.,0,False,0,7.832909,False,gd_missing_target_candidate
77,scene_002,cup_only,random_candidate,partial,Pick up the mug.,6,False,0,4.841418,False,ambiguity_not_solved
78,scene_002,cup_only,random_candidate,clear,Pick up the green mug.,1,False,0,3.284443,True,none
79,scene_002,cup_only,random_candidate,clear,Pick up the green mug.,1,False,0,2.753905,True,none
80,scene_002,cup_only,random_candidate,clear,Pick up the left most mug.,1,False,0,4.636697,True,none
81,scene_002,cup_only,random_candidate,clear,Pick up the right orange cup.,1,False,0,6.882124,True,none
82,scene_002,cup_only,vlm_direct,clear,Pick up the green cup.,1,False,0,6.025719,True,none
83,scene_002,cup_only,vlm_direct,clear,Pick up the left orange cup.,1,False,0,4.22635,True,none
84,scene_002,cup_only,vlm_direct,partial,Pick up the orange cup.,1,False,0,4.277363,False,gd_missing_target_candidate
85,scene_002,cup_only,vlm_direct,partial,Pick up the cup with lid.,6,False,0,9.017625,False,wrong_object_selected
86,scene_002,cup_only,vlm_direct,partial,Pick up the cup on the left.,6,False,0,5.670061,False,ambiguity_not_solved
87,scene_002,cup_only,vlm_direct,partial,Pick up top half cup.,1,False,0,6.823325,False,gd_missing_target_candidate
88,scene_002,cup_only,vlm_direct,ambiguous,Pick up my cup.,6,False,0,20.75725,False,ambiguity_not_solved
89,scene_002,cup_only,vlm_direct,ambiguous,Pick up my cup.,6,False,0,7.084822,False,ambiguity_not_solved
90,scene_002,cup_only,vlm_direct,ambiguous,Pick up my cup.,6,False,0,4.541513,False,ambiguity_not_solved
91,scene_002,cup_only,first_question,clear,Pick up right orange cup.,1,False,0,5.958928,True,none
92,scene_002,cup_only,first_question,clear,Pick up metal cup.,1,False,0,4.096875,True,none
93,scene_002,cup_only,first_question,partial,Pick up center cup.,6,True,2,107.443346,True,none
94,scene_002,cup_only,first_question,partial,Pick up left cup.,1,False,0,16.409783,True,none
95,scene_002,cup_only,first_question,partial,Pick up plastic cup.,6,True,4,175.694044,True,none
96,scene_002,cup_only,first_question,ambiguous,Pick up my cup.,6,True,5,513.36233,True,none
97,scene_002,cup_only,first_question,ambiguous,Pick up my cup,6,True,1,73.696962,True,none
98,scene_002,cup_only,first_question,ambiguous,Pick up my cup,6,True,5,278.043268,True,none
99,scene_002,cup_only,random_question,ambiguous,Pick up my cup,6,True,4,236.152967,True,none
100,scene_002,cup_only,random_question,ambiguous,Pick up my cup.,6,True,4,262.853043,True,none
101,scene_002,cup_only,random_question,ambiguous,Pick up my cup.,6,True,2,93.008439,True,none
102,scene_002,cup_only,random_question,clear,Pick up green cup.,1,False,0,5.998768,True,none
103,scene_002,cup_only,random_question,clear,Pick up most left cup.,1,False,0,3.741898,True,none
104,scene_002,cup_only,random_question,clear,Pick up metal cup.,1,False,0,14.946247,True,none
105,scene_002,cup_only,random_question,partial,Pick up center cup.,6,True,1,266.39661,False,wrong_object_selected
106,scene_002,cup_only,random_question,partial,Pick up left cup.,1,False,0,5.524074,True,none
107,scene_002,cup_only,vlm_best_question,partial,Pick up center cup.,6,True,2,185.919697,True,none
108,scene_002,cup_only,vlm_best_question,partial,Pick up center orange cup.,1,False,0,4.404628,True,none
109,scene_002,cup_only,vlm_best_question,clear,Pick up green cup.,1,False,0,2.969459,True,none
110,scene_002,cup_only,vlm_best_question,clear,Pick up blue cup.,1,False,0,2.682189,True,none
111,scene_002,cup_only,vlm_best_question,clear,Pick up metal cup.,1,False,0,3.274429,True,none
112,scene_002,cup_only,vlm_best_question,ambiguous,Pick up my cup.,6,True,5,289.596915,True,none
113,scene_002,cup_only,vlm_best_question,ambiguous,Pick up my cup.,6,True,3,188.785297,True,none
114,scene_002,cup_only,vlm_best_question,ambiguous,Pick up my cup.,6,True,4,191.766293,True,none
115,scene_002,cup_only,proposed_efe,clear,Pick up green cup.,1,False,0,3.422075,True,none
116,scene_002,cup_only,proposed_efe,clear,Pick up most metal cup.,1,False,0,5.95779,True,none
117,scene_002,cup_only,proposed_efe,partial,Pick up most center cup.,1,False,0,27.045399,False,wrong
118,scene_002,cup_only,proposed_efe,partial,Pick up center cup.,6,True,2,157.282587,True,none
119,scene_002,cup_only,proposed_efe,ambiguous,Pick up my cup.,6,True,2,113.72074,True,none
120,scene_002,cup_only,proposed_efe,ambiguous,Pick up my cup.,6,True,2,107.263172,True,none
121,scene_002,cup_only,proposed_efe,ambiguous,Pick up my cup.,6,True,4,164.249324,True,none
122,scene_003,cup_only,top_score,clear,Pick up the green cup.,1,False,0,6.425703,True,none
123,scene_003,cup_only,top_score,clear,Pick up the orange cup.,1,False,0,3.397833,True,none
124,scene_003,cup_only,top_score,clear,Pick up the metal cup.,1,False,0,5.751498,True,none
125,scene_003,cup_only,top_score,partial,Pick up the center cup.,1,False,0,5.484616,True,none
126,scene_003,cup_only,top_score,ambiguous,Pick up my cup.,6,False,0,3.514243,False,ambiguity_not_solved
127,scene_003,cup_only,top_score,ambiguous,Pick up my cup.,6,False,0,2.850094,False,wrong
